wn_synset	babelnet_id	pos	lemmata en	lemmata fr	definition	confidence	dist_from_music	dist_from_entity
n10967152	bn:00029995n	n	Farrell, Eileen_Farrell	eileen_farrell	United States operatic soprano noted for the clarity and power of her voice (1920-2002)	0.692	13	9
n11246040	bn:00030444n	n	Presley, Elvis_Presley, Elvis_Aron_Presley	elvis_aaron_presley, elvis_presley, ginger_alden	United States rock singer whose many hit records and flamboyant style greatly influenced American popular music (1935-1977)	0.377	13	9
n10299250	bn:00030515n	n	master_of_ceremonies, emcee, host	emcee, maitre_de_ceremonie, master_of_ceremony, cérémoniaire, maitre_de_cérémonie, maître_de_cérémonie	a person who acts as host at formal occasions (makes an introductory speech and introduces other speakers)	0.252	9	5
n10448568	bn:00063265n	n	poisoner	empoisonneuse, empoisonneur	someone who kills with poison	0.333	9	5
n06396812	bn:00046884n	n	insert	encart	a folded section placed between the leaves of another publication	0.5	2	6
n10272375	bn:00052022n	n	Lord_of_Misrule	enfants-sans-souci, sots	a person appointed master of revels at a Christmas celebration	0.048	10	6
n11066621	bn:00030846n	n	Humperdinck, Engelbert_Humperdinck	engelbert_humperdinck	German composer of six operas and other incidental music (1854-1921)	0.497	12	8
n08246613	bn:00056461n	n	musical_organization, musical_organisation, musical_group	ensemble_musical, groupe_de_musique	an organization of musicians who perform together	0.898	7	5
n02682407	bn:00001644n	n	aeolian_harp, aeolian_lyre, wind_harp	éole-harpe, éoli-harpe, harpe_d'éole, harpe_à_vent, harpe_éolique, harpe_éolienne	a harp having strings tuned in unison; they sound when wind passes over them	0.308	15	11
n15255439	bn:00048067n	n	Jazz_Age	ère_du_jazz	the 1920s in the United States characterized in the novels of F. Scott Fitzgerald as a period of wealth, youthful exuberance, and carefree hedonism	0.347	9	7
n11282434	bn:00031419n	n	Satie, Erik_Satie, Erik_Alfred_Leslie_Satie	eric_satie, erik_satie, satie, éric_satie, érik_satie, éric_alfred_leslie_satie	French composer noted for his experimentalism and rejection of Romanticism (1866-1925)	0.418	12	8
n10853413	bn:00011307n	n	Bloch, Ernest_Bloch	ernest_bloch	United States composer (born in Switzerland) who composed symphonies and chamber music and choral music and a piano sonata and an opera (1880-1959)	0.369	12	8
n11287437	bn:00031457n	n	Schumann-Heink, Ernestine_Schumann-Heink	ernestine_schumann-heink, ernestine_amalie_pauline_rössler	United States operatic contralto (1861-1936)	0.361	13	9
n04298171	bn:00073853n	n	stairs, steps	escalier	a flight of stairs or a flight of steps	0.178	11	7
n11176527	bn:00031696n	n	Merman, Ethel_Merman	ethel_agnes_zimmermann, ethel_merman	United States singer who appeared in several musical comedies (1909-1984)	0.202	12	8
n10121246	bn:00018678n	n	garroter, garrotter, strangler, throttler, choker	étrangleur, étrangleuse	someone who kills by strangling	0.5	9	5
n07048627	bn:00074795n	n	study	étude	a composition intended to develop one aspect of the performer's technique	0.88	2	6
n07043518	bn:00031755n	n	etude	etude, étude	a short composition for a solo instrument; intended as an exercise or to demonstrate technical virtuosity	0.885	2	6
n11216797	bn:00031813n	n	Ormandy, Eugene_Ormandy	eugene_ormandy, ormandy, eugène_ormandy	United States conductor (born in Hungary) (1899-1985)	0.711	12	8
n03301568	bn:00031852n	n	euphonium	euphonium, sommerophone, tuba_ténor	a bass horn (brass wind instrument) that is the tenor of the tuba family	0.631	14	10
n00429713	bn:00031886n	n	eurythmy, eurhythmy, eurythmics, eurhythmics	eurythmie	the interpretation in harmonious bodily movements of the rhythm of musical compositions; used to teach musical understanding	0.5	9	7
n10067305	bn:00031982n	n	Evangelist	évangéliste	(when capitalized) any of the spiritual leaders who are assumed to be authors of the Gospels in the New Testament: Matthew, Mark, Luke, and John	0.587	10	6
n10070711	bn:00032233n	n	exhibitionist, show-off	exhibitionniste, poseuse, poseur	someone who deliberately behaves in such a way as to attract attention	0.429	11	7
n07215568	bn:00032368n	n	expose, unmasking	exposé	the exposure of an impostor or a fraud	0.722	10	8
n06741993	bn:00032371n	n	exposition	exposition	(music) the section of a movement (especially in sonata form) where the major musical themes first occur	0.971	2	6
n07051441	bn:00032692n	n	fado	fado	a sad Portuguese folksong	0.434	4	8
n00102374	bn:00047902n	n	jam_session	faire_un_jam, improvisation_collective, jam-session, jam_sessions, jam_session, jammin, jam, bœuf, bœuf_rock, faire_le_bœuf	an impromptu jazz concert	0.812	12	10
n03318707	bn:00032779n	n	fake_book	fake_book	a fake in the form of an imitation book; used to fill bookcases of people who wish to appear scholarly	0.673	14	10
n05127357	bn:00032878n	n	falsetto	falsetto, fausset, voix_de_fausset, voix_de_tete, voix_de_tête	a male singing voice with artificially high tones in an upper register	0.766	10	8
n07044543	bn:00033644n	n	fantasia	fantaisie, fantaisie_littéraire	a musical composition of a free form usually incorporating several familiar themes	0.896	2	6
n10042300	bn:00029543n	n	eater, feeder	feeder	someone who consumes food for nourishment	0.79	10	6
n11135236	bn:00036276n	n	Liszt, Franz_Liszt	ferenc_liszt, frans_liszt, franz_liszt, liszt_ferenc	Hungarian composer and piano virtuoso (1811-1886)	0.446	12	8
n04536866	bn:00034250n	n	violin, fiddle	fiddle, violon	bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow	0.469	14	10
n03334492	bn:00034347n	n	fife	fifre, schwegel	a small high-pitched flute similar to a piccolo; has a shrill tone and is used chiefly to accompany drums in a marching band	0.316	15	11
n03968728	bn:00063080n	n	plumb_bob, plumb, plummet	fil_à_plomb	the metal bob of a plumb line	0.107	11	7
n07055401	bn:00035010n	n	flamenco	flamenco	guitar music composed for dancing the flamenco	0.304	2	6
n03343354	bn:00034618n	n	fipple_flute, fipple_pipe, recorder, vertical_flute	flute_à_bec, flûte_à_bec, flûte_à_six_trous	a tubular wind instrument with 8 finger holes and a fipple mouthpiece	0.499	14	10
n03884397	bn:00060368n	n	panpipe, pandean_pipe, syrinx	flute_de_pan, flûte_de_pan	a primitive wind instrument consisting of several parallel pipes bound together	0.319	14	10
n10098245	bn:00035127n	n	flutist, flautist, flute_player	flutiste, flûtiste, joueur_de_flûte	someone who plays the flute	0.522	11	7
n05932282	bn:00072790n	n	sonata_form	forme-sonate, forme_sonate, sonate, structure_sonate	a musical form having 3 sections -- exposition and development and recapitulation; characteristic of 1st movement of a sonata or symphony	0.859	12	10
n03928116	bn:00035986n	n	piano, pianoforte, forte-piano	forte-piano, piano-forte, piano	a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds	0.463	13	9
n03853291	bn:00059287n	n	orchestra_pit, pit	fosse_d'orchestre, fosse	lowered area in front of a stage where an orchestra accompanies the performers	0.37	11	7
n11302062	bn:00036209n	n	Sinatra, Frank_Sinatra, Francis_Albert_Sinatra	francis_albert_sinatra, franck_sinatra, frank_sinatra	United States singer and film actor (1915-1998)	0.348	11	7
n11244419	bn:00036218n	n	Poulenc, Francis_Poulenc	francis_jean_marcel_poulenc, francis_poulenc, poulenc, françis_poulenc	French pianist and composer (1899-1963)	0.584	12	8
n10913010	bn:00023267n	n	Couperin, Francois_Couperin	françois_couperin	French composer of music for organ and a member of a family of distinguished organists (1668-1733)	0.46	12	8
n11035780	bn:00036272n	n	Haydn, Joseph_Haydn, Franz_Joseph_Haydn	franz_joseph_haydn, joseph_haydn	prolific Austrian composer who influenced the classical form of the symphony (1732-1809)	0.484	12	8
n11125080	bn:00036275n	n	Lehar, Franz_Lehar	franz_lehar, franz_lehàr, franz_lehár, franz_léhar	Hungarian composer of light operas (1870-1948)	0.326	12	8
n11286618	bn:00036277n	n	Schubert, Franz_Schubert, Franz_Peter_Schubert, Franz_Seraph_Peter_Schubert	franz_schubert	Austrian composer known for his compositions for voice and piano (1797-1828)	0.414	12	8
n10896644	bn:00018731n	n	Chopin, Frederic_Francois_Chopin	frederic_chopin, fryderyk_chopin, frédéric_chopin, frédéric_françois_chopin	French composer (born in Poland) and pianist of the romantic school (1810-1849)	0.421	12	8
v01055829	bn:00089508v	v	hum	fredonner	sing with closed lips	1.0	99	99
n07058064	bn:00076342n	n	techno	free_tekno, freetekno, musique_techno, techno, tekno	a style of fast heavy electronic dance music usually without vocals	0.698	2	6
n11110791	bn:00036604n	n	Kreisler, Fritz_Kreisler	fritz_kreisler	United States violinist (born in Austria) (1875-1962)	0.478	12	8
n07043675	bn:00036754n	n	fugue	fugato, fughetta, fugue, fuga	a musical form consisting of a theme repeated a fifth above or a fourth below its first statement	0.784	3	6
n07063585	bn:00036872n	n	funk	funk_music, funky_music, funky, funk, musique_funk	an earthy type of jazz combining it with blues and soul; has a heavy bass line that accentuates the first beat in the bar	0.839	4	7
n06892657	bn:00009908n	n	benefit_concert	gala_de_bienfaisance	a concert given for the benefit of some charitable cause	0.408	10	8
n03945615	bn:00062571n	n	pipe	galoubet	a tubular wind instrument	0.457	13	9
n08248521	bn:00037205n	n	gamelan	gamelan	a traditional Indonesian ensemble typically including many tuned percussion instruments including bamboo xylophones and wooden or bronze chimes and gongs	0.529	9	7
n06857487	bn:00037234n	n	gamut	gamme	the entire scale of musical notes	0.867	8	8
n05128096	bn:00037233n	n	gamut	gamme, palette	a complete extent or range: "a face that expressed a gamut of emotions"	1.0	9	7
n06860826	bn:00052883n	n	major_scale, major_diatonic_scale	gamme_majeure, mode_majeur	a diatonic scale with notes separated by whole tones except for the 3rd and 4th and 7th and 8th	0.657	10	10
n06861020	bn:00055200n	n	minor_scale, minor_diatonic_scale	gamme_mineure, mode_mineur	a diatonic scale with notes separated by whole tones except for the 2nd and 3rd and 5th and 6th	0.643	10	10
n06861435	bn:00061429n	n	pentatonic_scale, pentatone	gamme_pentatonique, musique_pentatonique, pentatonique, systeme_pentatonique, système_pentatonique, théorie_des_musiques_pentatoniques,_gamme_pentatonique	a gapped scale with five notes; usually the fourth and seventh notes of the diatonic scale are omitted	0.726	9	9
v02187320	bn:00089096v	v	rumble, grumble	gargouiller	make a low noise	1.0	99	99
n03609397	bn:00048867n	n	kazoo	gazou, kazoo, kazou	a toy wind instrument that has a membrane that makes a sound when you hum into the mouthpiece	0.601	13	9
n07071942	bn:00037743n	n	music_genre, musical_genre, genre, musical_style	genre_de_musique, genre_musical, genres_musicaux, liste_des_genres_musicaux, liste_des_styles_musicaux, style_de_musique	an expressive style of music	0.825	1	4
n06781811	bn:00067697n	n	ribaldry	genre_grivois	ribald humor	0.111	5	5
n11027631	bn:00040194n	n	Handel, George_Frideric_Handel, George_Frederick_Handel, Georg_Friedrich_Handel	georg_friedrich_haendel, haendel, georg_friedrich_händel	a prolific British baroque composer (born in Germany) remembered best for his oratorio Messiah (1685-1759)	0.407	12	8
n11334925	bn:00040196n	n	Telemann, Georg_Philipp_Telemann	georg_philipp_telemann, melante, telemann	German baroque composer (1681-1767)	0.462	12	8
n11327964	bn:00040236n	n	Szell, George_Szell	georg_szell, george_szell	United States conductor (born in Hungary) (1897-1970)	0.749	12	8
n10996876	bn:00040214n	n	Gershwin, George_Gershwin	george_gerschwin, george_gershwin, georges_gerschwin, georges_gershwin, gerschwin, gershwin, jacob_gershowitz	United States composer who incorporated jazz into classical forms and composed scores for musical comedies (1898-1937)	0.457	12	8
n11031842	bn:00040218n	n	Harrison, George_Harrison	george_harrison	English rock star; lead guitarist of the Beatles (1943-2001)	0.594	13	9
n10851865	bn:00010811n	n	Bizet, Georges_Bizet	georges_bizet, alexandre-césar-léopold_bizet	French composer best known for his operas (1838-1875)	0.444	12	8
n10959074	bn:00030832n	n	Enesco, Georges_Enesco, George_Enescu	georges_enesco	Romanian violinist and composer (1881-1955)	0.495	12	8
n11120530	bn:00040320n	n	Lawrence, Gertrude_Lawrence	gertrude_alice_dagmar_klasen, gertrude_lawrence	English actress (1898-1952)	0.115	12	8
n11177695	bn:00040379n	n	Meyerbeer, Giacomo_Meyerbeer, Jakob_Liebmann_Beer	giacomo_meyerbeer, jacob_liebmann_beer, jakob_liebmann_beer, meyer_beer, meyerbeer	German composer of operas in a style that influenced Richard Wagner (1791-1864)	0.557	12	8
n11248077	bn:00040380n	n	Puccini, Giacomo_Puccini	giacomo_puccini, giacomo_antonio_domenico_michele_secondo_maria_puccini	Italian operatic composer noted for the dramatic realism of his operas (1858-1924)	0.337	12	8
n11174901	bn:00040383n	n	Menotti, Gian_Carlo_Menotti	gian-carlo_menotti, gian_carlo_menotti, giancarlo_menotti	United States composer (born in Italy) of operas (born in 1911)	0.417	12	8
n07055805	bn:00040453n	n	jig, gigue	gigue, jig	music in three-four time for dancing a jig	0.601	2	6
n07278365	bn:00040462n	n	Gilbert_and_Sullivan	gilbert_et_sullivan	the music of Gilbert and Sullivan	0.451	1	5
n11271720	bn:00040482n	n	Rossini, Giloacchino_Antonio_Rossini	gioacchino_rossini, gioachino_rossini, giovacchino_antonio_rossini, rossini	Italian composer remembered for his operas (1792-1868)	0.459	12	8
n11221268	bn:00040524n	n	Palestrina, Giovanni_Pierluigi_da_Palestrina	giovanni_pierluigi_da_palestrina	Italian composer (1526-1594)	0.467	12	8
n11363020	bn:00040560n	n	Verdi, Giuseppe_Verdi, Guiseppe_Fortunino_Francesco_Verdi	giuseppe_verdi, giuseppe_fortunino_francesco_verdi	Italian operatic composer (1813-1901)	0.382	12	8
n07386194	bn:00049319n	n	knell	glas, knell	the sound of a bell rung slowly to announce a death or a funeral or the end of something	0.125	9	7
n03439260	bn:00040623n	n	glassworks	glassworks	a workplace where glass is made	0.552	11	7
n08229605	bn:00040647n	n	glee_club	glee_club	a club organized to sing together	0.2	9	7
n11180209	bn:00003155n	n	Miller, Glenn_Miller, Alton_Glenn_Miller	glenn_miller	United States bandleader of a popular big band (1909-1944)	0.499	13	9
n11002422	bn:00040668n	n	Glinka, Mikhail_Glinka, Mikhail_Ivanovich_Glinka	glinka, mihail_ivanovic_glinka, mikhail_glinka, mikhaïl_glinka, mikhaïl_ivanovitch_glinka	Russian composer (1804-1857)	0.409	12	8
n06857264	bn:00072151n	n	swoop, slide	glissade	(music) rapid sliding up or down the musical scale	1.0	3	7
n06857122	bn:00040676n	n	glissando	glissandi, glissando, glissendi	a rapid series of ascending or descending notes on the musical scale	0.726	2	6
n07061334	bn:00041147n	n	gospel, gospel_singing	godspel, gospel	folk music consisting of a genre of a cappella music originating with Black slaves in the United States and featuring call and response; influential on the development of other genres of popular music (especially soul)	0.529	4	7
n04984007	bn:00076742n	n	texture	grain	the musical pattern created by parts being played or sung together	0.769	8	6
n11012042	bn:00041426n	n	Grappelli, Stephane_Grappelli	grappelli, stephan_grappelli, stephane_grappelli, stéphane_grapelli, stéphane_grappelli	French jazz violinist (1908-1997)	0.602	12	8
n04236935	bn:00016387n	n	sleigh_bell, cascabel	grelot	a bell attached to a sleigh, or to the harness of a horse that is pulling a sleigh	0.349	13	9
n02803666	bn:00008921n	n	bass_drum, gran_casa	grosse_caisse, kick	a large drum with two heads; makes a sound of indefinite but very low pitch	0.629	14	10
n08249038	bn:00008280n	n	band	groupe, orchestre	instrumentalists not including string players	0.894	8	6
n08249752	bn:00063562n	n	pop_group	groupe_de_pop	a group that plays pop music	0.667	9	7
n08250501	bn:00068051n	n	rock_group, rock_band	groupe_de_rock, groupe, équipe	a band of musicians who play rock'n'roll music	0.894	9	7
n10148991	bn:00041957n	n	groupie	groupie	an enthusiastic young fan (especially a young woman who follows rock groups around)	0.82	10	6
n03467517	bn:00042150n	n	guitar	guitare	a stringed instrument usually having six strings; played by strumming or plucking	0.484	13	9
n02676566	bn:00000975n	n	acoustic_guitar	guitare_acoustique, guitares_acoustiques, guitare_sèche	sound is not amplified by electrical means	0.564	14	10
n03272010	bn:00030148n	n	electric_guitar	guitare_electrique, guitare_électrique, guitare_éléctrique, guitares_électriques	a guitar whose sound is amplified by electrical means	0.641	14	10
n10151760	bn:00042152n	n	guitarist, guitar_player	guitaristes, guitariste	a musician who plays the guitar	0.865	11	7
n11149630	bn:00042278n	n	Mahler, Gustav_Mahler	gustav_mahler	Austrian composer and conductor (1860-1911)	0.53	12	8
n07055612	bn:00042387n	n	habanera	habanera, havanaise	music composed in duple time for dancing the habanera	0.583	2	6
n11390364	bn:00042871n	n	Williams, Hank_Williams, Hiram_Williams, Hiram_King_Williams	hank_williams	United States country singer and songwriter (1923-1953)	0.488	12	8
n07027180	bn:00043029n	n	harmony, musical_harmony	harmonie	the structure of music with respect to the composition and progression of chords	0.597	1	5
n08249459	bn:00021561n	n	concert_band, military_band	harmonie, musique_militaire, orchestre_d'harmonie, orchestre_militaire, musique_à_vent	a group of musicians playing brass and woodwind and percussion instruments	0.471	9	7
n03494537	bn:00043028n	n	harmonium, organ, reed_organ	harmonium, harmonio	a free-reed instrument in which air is forced through the reeds by bellows	0.529	14	10
n03495258	bn:00043043n	n	harp	harpe	a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers	0.436	14	10
v01732713	bn:00089223v	v	harp	harper	play the harp	0.75	99	99
n10160770	bn:00043046n	n	harpist, harper	harpiste	someone who plays the harp	0.44	11	7
n03838899	bn:00043159n	n	oboe, hautboy, hautbois	hautbois	a slender double-reed instrument; a woodwind with a conical bore and a double-reed mouthpiece	0.602	16	12
n03839276	bn:00058482n	n	oboe_d'amore	hautbois_d'amour, oboe_d'amore	an oboe pitched a minor third lower than the ordinary oboe; used to perform baroque music	0.765	17	13
n10369317	bn:00058484n	n	oboist	hautboïste	a musician who plays the oboe	1.0	11	7
n00950858	bn:00044092n	n	high_technology, high_tech	haute_technologie, hautes_technologies, high-tech, high_tech, technique_de_pointe, techniques_de_pointes, techniques_de_pointe, technologie_de_pointe, technologies_de_pointe	highly advanced technological development (especially in electronics)	0.01	11	9
n07065149	bn:00043479n	n	heavy_metal, heavy_metal_music	heavy_metal_music, heavy_metal, metal_rock, metal, musique_heavy_metal, métal	loud and harsh sounding rock music with a strong beat; lyrics usually involve violent or fantastic imagery	0.744	4	7
n03510866	bn:00008932n	n	heckelphone, basset_oboe	heckelphone	an oboe pitched an octave below the ordinary oboe	0.727	17	13
n11366548	bn:00043565n	n	Villa-Lobos, Heitor_Villa-Lobos	hector_villa-lobos, heitor_villa-lobos, heitor_villa_lobos, villa-lobos, héctor_villalobos	Brazilian composer (1887-1959)	0.44	12	8
n11172045	bn:00025108n	n	Melba, Dame_Nellie_Melba, Helen_Porter_Mitchell	helen_porter_mitchell, nellie_melba	Australian operatic soprano (1861-1931)	0.477	14	10
n11248599	bn:00043731n	n	Purcell, Henry_Purcell	henry_purcell	English organist at Westminster Abbey and composer of many theatrical pieces (1659-1695)	0.435	12	8
n11395773	bn:00071810n	n	Wood, Sir_Henry_Wood, Sir_Henry_Joseph_Wood	henry_wood	English conductor (1869-1944)	0.664	12	8
n10176357	bn:00014133n	n	hillbilly, bushwhacker	hillbilly, péquenaud	a disparaging term for an unsophisticated person	0.237	10	6
n11050870	bn:00044172n	n	Hindemith, Paul_Hindemith	hindemith, paul_hindemith	German neoclassical composer and conductor who believed that music should have a social purpose (1895-1963)	0.552	12	8
n07064055	bn:00044202n	n	rap, rap_music, hip-hop	hip-hop, hip_hop, musique_hip-hop, musique_hip_hop, rap	genre of African-American music of the 1980s and 1990s in which rhyming lyrics are chanted to a musical accompaniment; several forms of rap have emerged	0.679	3	6
n04056289	bn:00066269n	n	rattle	hochet	a baby's toy that makes percussive noises when shaken	0.308	10	6
n07031144	bn:00044604n	n	homophony	homophonie	part music with one dominant voice (in a homophonic style)	0.769	2	6
n02795670	bn:00008703n	n	barrelhouse, honky-tonk	honky_tonk, honkytonk	a cheap drinking and dancing establishment	0.675	13	9
n07055720	bn:00044803n	n	hornpipe	hornpipe	music for dancing the hornpipe	0.566	2	6
n07122639	bn:00044886n	n	hosanna	hosanna	a cry of praise or adoration (to God)	0.233	4	6
n11123262	bn:00045116n	n	Ledbetter, Huddie_Leadbetter, Leadbelly	huddie_"leadbelly"_ledbetter, huddie_ledbetter, huddie_william_ledbetter, lead_belly, leadbelly, lead_belly,_folk_singer_and_composer	United States folk singer and composer (1885-1949)	0.549	12	8
n11394398	bn:00045139n	n	Wolf, Hugo_Wolf	hugo_wolf, wolf_hugo	Austrian composer (1860-1903)	0.527	12	8
n07042405	bn:00054527n	n	Messiah	hwv_56, le_messie, messiah, messie	an oratorio composed by Handel in 1742	0.669	4	7
n07035870	bn:00004527n	n	hymn, anthem	hymne_religieux, hymne, chant_sacré	a song of praise (to God or to a saint or to a nation)	0.196	4	7
n11070531	bn:00045694n	n	Ibert, Jacques_Francois_Antoine_Ibert	ibert, jacques_ibert, jacques_françois_antoine_ibert, jacques_françois_antoine_marie_ibert	French composer (1890-1962)	0.393	12	8
n05763412	bn:00045825n	n	identity	identité	the individual characteristics by which a thing or person is recognized or known	0.25	10	8
n11321841	bn:00045895n	n	Stravinsky, Igor_Stravinsky, Igor_Fyodorovich_Stravinsky	igor_stravinsky	composer who was born in Russia but lived in the United States after 1939 (1882-1971)	0.455	12	8
n07029088	bn:00071549n	n	signature, signature_tune, theme_song	indicatif_musical	a melody used to identify a performer or a dance band or radio/tv program	0.402	2	6
n15264363	bn:00060099n	n	tempo, pacing	indication_de_tempo, tempos, tempi, tempo	(music) the speed at which a composition is to be played	0.764	7	5
n00544731	bn:00046973n	n	instrumental_music	instrumental, musique_instrumentale	music produced by playing a musical instrument	0.822	9	7
n00939818	bn:00046981n	n	orchestration, instrumentation	instrumentation	the act of arranging a piece of music for an orchestra and assigning parts to the different musical instruments	0.762	12	10
n10340312	bn:00046975n	n	musician, instrumentalist, player	instrumentiste, joueuse, joueur, musicienne, musicien	someone who plays a musical instrument (as a profession)	0.616	10	6
n07039620	bn:00047126n	n	intermezzo	intermezzo	a short piece of instrumental music composed for performance between acts of a drama or opera	0.66	2	6
n07045245	bn:00047288n	n	intro	introduction	a brief introductory passage to a piece of popular music	0.717	3	7
n07040413	bn:00047292n	n	introit	introït	a composition of vocal music that is appropriate for opening church services	0.113	2	6
n10997068	bn:00040319n	n	Gershwin, Ira_Gershwin	ira_gerschwin, ira_gershwin	United States lyricist who frequently collaborated with his brother George Gershwin (1896-1983)	0.509	11	7
n10847454	bn:00010026n	n	Berlin, Irving_Berlin, Israel_Baline	irving_berlin, israel_isidore_beilin, izzy, ישראל_ביילין, израиль_моисеевич_бейлин	United States songwriter (born in Russia) who wrote more than 1500 songs and several musical comedies (1888-1989)	0.391	13	9
n11316828	bn:00047581n	n	Stern, Isaac_Stern	isaac_stern	United States concert violinist (born in Russia in 1920)	0.487	12	8
n04132603	bn:00069066n	n	samisen, shamisen	jabisen, shamisen	a Japanese stringed instrument resembling a banjo with a long neck and three strings and a fretted fingerboard and a rectangular soundbox; played with a plectrum	0.332	13	9
n11023883	bn:00036624n	n	Halevy, Fromental_Halevy, Jacques_Francois_Fromental_Elie_Halevy	jacques_fromental_halevy, jacques_halévy, fromental_halévy, jacques-fromental_halévy, jacques_fromental_halévy	French operatic composer (1799-1862)	0.376	12	8
n11212534	bn:00047870n	n	Offenbach, Jacques_Offenbach	jacques_offenbach, jakob_eberst, offenbach	French composer of many operettas and an opera (1819-1880)	0.465	12	8
n11192533	bn:00047932n	n	Morrison, Jim_Morrison, James_Douglas_Morrison	james_douglas_morrison, jim_morisson, jim_morrison, morrison	United States rock singer (1943-1971)	0.303	13	9
n11040024	bn:00043692n	n	Hendrix, Jimi_Hendrix, James_Marshall_Hendrix	james_marshall_hendrix, jimi_hendrix, johnny_allen_hendrix	United States guitarist whose innovative style with electric guitars influenced the development of rock music (1942-1970)	0.619	12	8
n11167952	bn:00053977n	n	McCartney, Paul_McCartney, Sir_James_Paul_McCartney	james_paul_mccartney, paul_mccartney	English rock star and bass guitarist and songwriter who with John Lennon wrote most of the music for the Beatles (born in 1942)	0.558	13	9
n11091545	bn:00047971n	n	Joplin, Janis_Joplin	janis_joplin	United States singer who died of a drug overdose at the height of her popularity (1943-1970)	0.479	12	8
n07062697	bn:00048065n	n	jazz	jazz	a genre of popular music that originated in New Orleans around 1900 and developed through increasingly complex styles	0.755	3	6
n08250302	bn:00020889n	n	jazz_band, jazz_group, combo	jazz_band, orchestre_de_jazz	a small band of jazz musicians	0.836	9	7
n11299367	bn:00048086n	n	Sibelius, Jean_Sibelius, Johan_Julius_Christian_Sibelius	jean_sibelius, johan_julius_christian_sibelius, jean_sibélius	Finnish composer (1865-1957)	0.464	12	8
n11144860	bn:00040381n	n	Lully, Jean_Baptiste_Lully, Lulli, Giambattista_Lulli	jean-baptiste_lully	French composer (born in Italy) who was the court composer to Louis XIV and founded the national French opera (1632-1687)	0.443	12	8
n11252915	bn:00048077n	n	Rameau, Jean-Philippe_Rameau	jean-philippe_rameau	French composer of operas whose writings laid the foundation for the modern theory of harmony (1683-1764)	0.47	12	8
n11193058	bn:00034094n	n	Morton, Jelly_Roll_Morton, Ferdinand_Joseph_La_Menthe_Morton	jelly_roll_morton	United States jazz musician who moved from ragtime to New Orleans jazz (1885-1941)	0.531	12	8
n11132768	bn:00048119n	n	Lind, Jenny_Lind, Swedish_Nightingale	jenny_goldschmidt, jenny_lind-goldschmidt, jenny_lind	Swedish soprano who toured the United States under the management of P. T. Barnum (1820-1887)	0.313	13	9
n11102353	bn:00048139n	n	Kern, Jerome_Kern, Jerome_David_Kern	jerome_david_kern, jerome_kern, jérôme_kern	United States composer of musical comedies (1885-1945)	0.404	12	8
n11131358	bn:00048143n	n	Lewis, Jerry_Lee_Lewis	jerry_lee_lewis	United States rock star singer and pianist (born in 1935)	0.507	12	8
n11209428	bn:00048159n	n	Norman, Jessye_Norman	jessy_norman, jessye_norman	United States operatic soprano (born in 1945)	0.688	13	9
n11325867	bn:00025103n	n	Sutherland, Joan_Sutherland, Dame_Joan_Sutherland	joan_sutherland	Australian operatic soprano (born in 1926)	0.67	13	9
n01256124	bn:00081923n	n	yodeling	jodeln, jodler, jodle, yodel, yodle, yodl	singing by changing back and forth between the chest voice and a falsetto	0.602	11	9
n10862113	bn:00012669n	n	Brahms, Johannes_Brahms	johannes_brahms	German composer who developed the romantic style of both lyrical and classical music (1833-1897)	0.613	12	8
n10878530	bn:00014576n	n	Cage, John_Cage, John_Milton_Cage_Jr.	john_cage, john_milton_cage_jr., john_milton_cage	United States composer of avant-garde music (1912-1992)	0.371	12	8
n11126783	bn:00048320n	n	Lennon, John_Lennon	john_lennon, john_ono_lennon, john_winston_lennon	English rock star and guitarist and songwriter who with Paul McCartney wrote most of the music for the Beatles (1940-1980)	0.455	13	9
n11308988	bn:00048337n	n	Sousa, John_Philip_Sousa, March_King	john_philip_sousa	a United States bandmaster and composer of military marches (1854-1932)	0.355	12	8
n11085267	bn:00048234n	n	Joachim, Joseph_Joachim	joseph_joachim, józsef_joachim	Hungarian violinist and composer (1831-1907)	0.525	12	8
n11255085	bn:00053900n	n	Ravel, Maurice_Ravel	joseph-maurice_ravel, maurice_joseph_ravel, maurice_ravel	French composer and exponent of Impressionism (1875-1937)	0.468	12	8
v01726172	bn:00091713v	v	play	jouer	perform music on (a musical instrument)	0.909	99	99
v01725734	bn:00089955v	v	jazz	jouer_du_jazz	play something in the style of jazz	0.6	99	99
n10277638	bn:00052378n	n	lutist, lutanist, lutenist	joueur_de_luth, luthiste	a musician who plays the lute	0.456	11	7
n10226219	bn:00048514n	n	Judith	judith, юдифь	Jewish heroine in one of the books of the Apocrypha; she saved her people by decapitating the Assyrian general Holofernes	0.608	11	7
n08249608	bn:00048518n	n	jug_band	jug_band	a musical group that uses jugs and washboards and kazoos and other improvised instruments	0.667	9	7
n11163709	bn:00048542n	n	Massenet, Jules_Emile_Frederic_Massenet	jules_massenet, massenet, jules_émile_frédéric_massenet	French composer best remembered for his pop operas (1842-1912)	0.585	12	8
n11070855	bn:00045873n	n	Iglesias, Julio_Iglesias	julio_iglesias	Spanish singer noted for his ballads and love songs (born in 1943)	0.377	12	8
